,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
0,39462333-f159-4bc7-a667-0816f8295cd5,Nimas Indrati,https://play-lh.googleusercontent.com/a-/AD5-WCkEZPAc5-Bzxm_LZt0CiDFg8LD8Ehx8VTPSciOP,"Tidak pernah sempurna. Dulu sulit login, pas bisa, jadi sulit beri tanggapan, nanti apalagi.. dan muternya lama alias lola, berasa berattt. Kurang membantu, padahal harapan masyarakat, supaya terbantu. Buat aplikasi kan nggak murah, tapi kok begini ya.",1,10,1.0.7,12/13/2022 14:35,,
1,3d31a173-ffe8-49be-802a-8106565071d9,Yogi Setiawan,https://play-lh.googleusercontent.com/a/AEdFTp4HSTLViGiJ3-h-LB7FqLlX02pBHqxTvT4yIxa8=mo,"Eror terus ketika pengajuan usulan, sinyal stabil tapi tetap eror, ga jelas. Tolong di perbaiki, di aplikasi ada keterang error hubungi admin, tapi di dalam aplikasi tidak ada pengaturan untuk menghubungi admin, tolong di teliti lagi dalam membuat sebuah aplikasi. Terimakasih",1,229,1.0.7,12/1/2022 9:40,,
2,feec1048-4bd1-4f3c-9130-6d134e9673ef,Rendi Sianturi,https://play-lh.googleusercontent.com/a-/AD5-WCkrv9lu_-QifCA5xD2adBbG4-zgsEomqrzazmezUg,"Buruk banget aplikasi ini, emangnya tidak ada apa yang mengatasi masalah aplikasinya, sekelas kemensos masak punya sistem begini parah!. Sangat lama saya tunggu verifikasinya belum juga dikirim lewat email emangnya ini seperti pengurusan di desa ya yang lama banget prosesnya padahal pengiriman pesan otomatis lewat aplikasi bekerja bisa 24 jam, ini bisa pula ada jedanya hadeh",1,50,1.0.7,12/8/2022 17:32,,
3,0f58e0a6-ed24-4dd6-b214-08a2d00e737e,Oon Brevianto,https://play-lh.googleusercontent.com/a-/AD5-WClO9k8-KOM5Do_Giq1I0Aw-m5ZIpcb_DeaYUeYD,"Sudah Updated versi Terakhir tapi Tetap Tidak bisa Dibuka Aplikasinya. Saya hanya tinggal Verifikasi lewat Aplikasi ini (Sudah dapat email ke 2 dari Kemensos untuk Verifikasi lewat Aplikasi). Setiap saya masuk ke Aplikasi selalu ada Tulisan : ERROR JSON PARSE. Akhirnya saya coba pilihan di Aplikasi untuk Mengganti Password (Lupa Password), lalu saya Dapat Balasan Email dan ada Perintah Klik Link dibawah tapi Setelah saya Klik Link di Email Juga Error/Tidak ada Websitenya??! Tolong Diperbaiki!",1,962,1.0.7,10/6/2022 13:49,,
4,eba7fede-8a75-4d13-9326-cfbbb39c0838,Mulyono Gunawan,https://play-lh.googleusercontent.com/a/AEdFTp6ilE8VerUfZphm4tQdCUYtEtUrq4Hf0xY9vU9C=mo,"Tidak bisa login, padahal email dan password sdh benar, sdh dapat email akun sdh diverifikasi, tapi saat mencoba reset password, link yg dikirim ke email,saat di klik, muncul tulisan SITUS TIDAK BISA DIJANGKAU. Wkwkwkwkwk",1,406,1.0.7,10/24/2022 3:06,,
5,05b3d195-536d-4cc4-9a0b-8a5ba3d55fb9,Azmi Darneli,https://play-lh.googleusercontent.com/a/AEdFTp5EBViKo7awUAxVIUTSMKE23F6j02ga4-VpTZoa=mo,"Aplikasi nya gak bisa digunakan buat tambah usulan, karena error terus menerus. Udah tiap hari dicoba, pagi, siang, sore, malam, subuh, tiap menit, tiap detik, tiap jam, tetap error. Udah bosan sama aplikasi yang beginian, sama aja gak guna, yang download juga jadi tidak puas, yang ada sakit hati. Tolong di perbaiki, supaya jangan error error mulu.",1,27,1.0.7,11/28/2022 5:17,,
6,0fec493c-b1bd-401a-b277-c8c44e4d5c7a,ima siti malihah,https://play-lh.googleusercontent.com/a-/AD5-WCn-qD4aJw0nonQMYu8YRobYMUGDjzx0qQY4SiZTmaI,Aplikasinya kenapa sih? Dulu waktu baru instal gabisa login krn disitu tulisannya tidak ada koneksi pd kuota penuh trs skrg udh diupdate baru bisa. Eh bagian mau ngusulin udh selesai data semuanya malah tulisannya error harap hubungin admin. Gimana sih ini bikin apk nya nanggung2. Tolong bgt dong diperbaikin,1,56,1.0.7,11/26/2022 13:51,,
7,2da41b4b-c5c6-448a-ac90-25fb72fd2114,Komar Cuanki,https://play-lh.googleusercontent.com/a/AEdFTp7cLCSUBBfh9f3xkq31AjUnBbunhzgYWcuU-UCl=mo,"Agak kecewa sih aplikasi nya bisa dibilang gak stabil,apalagi pas mau login tuh ada aja kendalanya, entah itu koneksi sinyalnya,ataupun json parse, minimal kasih panduan lah buat mengatasi itu,mohon cepat diperbaiki sihh.",1,770,1.0.7,10/7/2022 10:59,,
8,e61c56dd-a8ec-4150-85a4-6f4e80d34b5a,M A,https://play-lh.googleusercontent.com/a-/AD5-WCkP6eFeqrp6OKXqcP8waeVLxBzItbZ8Fk_XGzun,"Aplikasi sering error, tidak ada admin atau nomor kontak yang bisa dihubungi untuk memperbaiki eror maupun admin untuk membantu cara mendaftarkan diri secara mandiri atau mengajukan usul. Meskipun ada fitur pengajuan atau penyanggahan, tapi beberapa pengguna masih sering kebingungan untuk mendaftarkan diri. Sangat tidak relevan.",1,25,1.0.7,11/27/2022 13:27,,
9,93749456-8987-48db-aeab-9a9bce817341,Sufriyadi Sigalingging,https://play-lh.googleusercontent.com/a/AEdFTp4yc48nKGyVUTMU62f1wWA43UcOrJ_l-bY40jGa=mo,"Sekedar mengingatkan.. Bagi teman² yang juga menggunakan aplikasi cek bansos yang jaringannya error setiap x masuk, coba lagi sekarang, saya sudah coba masuk hampir 1 bulan tetap error tapi alhamdulillah kemarin sudah bisa masuk dan memilih... Selamat mencoba para pejuang bansos...!!",3,344,1.0.7,11/2/2022 3:34,,
